Transaction Date,Post Date,Description,Category,Amount
Nov 14,Nov 17,PAYMENT THANK YOU/PAIEMENT,MERCI,26.03
Nov 18,Nov 19,PAYMENT THANK YOU/PAIEMENT,MERCI,110.56
Nov 27,Nov 30,PAYMENT THANK YOU/PAIEMENT,MERCI,130.42
Dec 03,Dec 04,PAYMENT THANK YOU/PAIEMENT,MERCI,123.43
Nov 14,Nov 16,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,24.10
Nov 14,Nov 16,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,26.03
Nov 14,Nov 17,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,3.42
Nov 15,Nov 16,Subway 11980,Winnipeg MB Restaurants,9.62
Nov 15,Nov 17,PIZZA PIZZA # 450,WINNIPEG MB Restaurants,22.39
Nov 17,Nov 17,Subway 11980,Winnipeg MB Restaurants,9.62
Nov 17,Nov 19,PIZZA PIZZA # 450,WINNIPEG MB Restaurants,41.41
Nov 20,Nov 23,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,39.70
Nov 20,Nov 23,7-ELEVEN 17060 D2811,WINNIPEG MB Retail and Grocery,4.54
Nov 20,Nov 23,7-ELEVEN 17060 D2811,WINNIPEG MB Retail and Grocery,1.73
Nov 20,Nov 23,PIZZA PIZZA # 450,WINNIPEG MB Restaurants,29.65
Nov 20,Nov 23,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,10.53
Nov 23,Nov 26,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,41.43
Nov 27,Nov 30,PIZZA PIZZA # 450,WINNIPEG MB Restaurants,17.91
Nov 27,Nov 30,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,2.84
Nov 29,Dec 01,PIZZA PIZZA # 450,WINNIPEG MB Restaurants,45.56
Dec 01,Dec 04,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,5.71
Dec 02,Dec 03,SOUTHLAND,RESTAURANT WINNIPEG MB Restaurants,39.70
Dec 02,Dec 03,BK #11895,WINNIPEG MB Restaurants,14.55
Dec 05,Dec 07,PIZZA HOTLINE #8,WINNIPEG MB Restaurants,21.27
Dec 07,Dec 08,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,41.79
Dec 08,Dec 10,PIZZA PIZZA # 450,WINNIPEG MB Restaurants,22.39
Dec 09,Dec 10,BK #11895,WINNIPEG MB Restaurants,12.31
Dec 11,Dec 11,Subway 11980,Winnipeg MB Restaurants,20.69
